cluster,n,mean_dur_s,mean_views
0,23,1213.9130434782608,143354.39130434784
1,6,1493.8333333333333,142975.33333333334
2,25,877.28,63252.56
3,17,1247.4705882352941,85132.4705882353
4,4,415.75,51066.25
5,12,1061.9166666666667,138632.58333333334
