,feature,shap_mean_abs,shap_mean,group
0,music_rolloff,0.3707163195183047,-0.004297619692917612,audio_music
1,loudness_variance,0.36977520542032455,0.0016694497266765862,audio_loudness
2,brightness,0.3300322496305327,-0.009920154893361321,visual_quality
3,scene_novelty,0.3024833248648097,0.0033864257164011257,visual_motion
4,angry,0.30228492542322477,0.05328357209630162,emotion
5,speech_rate_cv,0.29658992056197364,0.01127686407275492,audio_speech
6,screencast_prob,0.28220713014376186,0.0071192339195138565,visual_content
7,cinematic,0.26591007953453005,-0.017218932013822068,visual_quality
8,music_only,0.25782407806419577,0.004219923071642484,audio_music
9,visual_entropy,0.2367251857447889,0.030035574335072583,visual_quality
10,text_prob,0.23651859225528815,-0.024038433277989345,visual_content
11,speech_complexity,0.23478780269145902,-0.019800309884421014,text_complexity
12,music_centroid,0.23045099029047086,-0.028006938438900085,audio_music
13,loudness_change,0.22717210747645825,-0.020051444704053435,audio_loudness
14,centroid,0.22461123796370258,0.005100281307092236,audio_basic
15,vocal_centroid,0.22364130066579796,0.037082476493607394,audio_vocal
16,ad_density_pct,0.20935167002380534,-0.01884133356883804,ad
17,vocal_zcr,0.1994663162209956,0.0374399815184903,audio_vocal
18,rolloff,0.19763752954786884,0.0022280811920018574,audio_basic
19,happy,0.19176038292920095,0.022244131952712406,emotion
20,ad_segment_length,0.18047183209844775,-0.0025475169324563006,ad
21,beat_sync,0.17874345414603893,0.0456599076466184,audio_music
22,zcr,0.17318640719970865,-0.017065500970633297,audio_basic
23,edit_pace_x_screencast,0.16665657913875156,-0.021711599971374413,interaction
24,beat_sync_ratio,0.1665013812954843,0.009220619222374651,audio_music
25,music_zcr,0.15940374929278783,0.009670921801019527,audio_music
26,viewer_address,0.15324410730478283,0.003165648567668661,text_content
27,pause_rate,0.14716607486380498,0.001793145682998365,audio_speech
28,radial_med,0.14558798291393088,-0.03199796403418114,visual_motion
29,avg_word_length,0.13564039434525926,-0.02489336934123801,text_complexity
30,edit_pace,0.12573194217412287,0.01558316422029334,visual_motion
31,sharpness,0.12489502838422657,0.010781553775313932,visual_quality
32,face_screen_ratio,0.11667611787810765,-0.030284232430847956,visual_content
33,lexical_diversity,0.11560913249033807,-0.013854649907401834,text_complexity
34,frame,0.11307563349285203,-0.0044655470793477595,visual_motion
35,sentiment_intensity,0.11208366881249203,0.0027792438736465074,text_content
36,rms,0.10892424990411324,-0.009670798719901697,audio_basic
37,vocal_rolloff,0.10838827875221244,0.00487812562557823,audio_vocal
38,topic_shift,0.10817096962806035,0.0005898003170983184,text_content
39,disgust,0.1079133613412755,0.008696266615002677,emotion
40,filler_density,0.10101122942874666,-0.0018388784511990386,text_content
41,surprise,0.0998903157170719,-0.0020960594322176284,emotion
42,is_ad,0.09945147296945493,-0.006764038953559462,ad
43,bumper_score,0.09817073063987762,0.0009447649638489736,visual_content
44,n_ad_segments,0.09792287019361415,0.006658487398253055,ad
45,fear,0.09412358010904368,-0.007580068698148754,emotion
46,hook_score_x_time_pct,0.08867367237596958,-0.0030246674920017006,interaction
47,motion_speed,0.08723318242064453,0.008391428399188657,visual_motion
48,neutral,0.08453641790031814,-0.015889330630907965,emotion
49,syntactic_depth,0.07578614450309926,0.01151860765013539,text_complexity
50,question_density,0.07405756625260201,-0.003683400188215921,text_content
51,speaker_prob,0.07335538971785635,0.01910482298861945,visual_content
52,sad,0.06491199904698106,0.006511543497205137,emotion
53,cultural_ref_density,0.06236424560749525,-0.022473027963605084,text_content
54,radial_ratio,0.0615243528364961,0.013785753606982764,visual_motion
55,wps,0.05956104014633462,-0.0014009543865139585,audio_speech
56,flow_mag_med,0.05672979577773383,-0.006854746638041681,visual_motion
57,sentiment_polarity,0.04891373620992358,-0.008241515491061393,text_content
58,hook_score,0.04822161555262004,0.011072886263255975,hook
59,speech_ratio,0.04288556887507979,0.0015979512187164178,audio_speech
60,is_ad_x_viewer_address,0.031797793975086044,-0.002951385213257215,interaction
61,music_rms,0.025190017021674355,-0.015653879906879276,audio_music
62,vocal_rms,0.021790573164651286,-0.010205085438764663,audio_vocal
63,hook_has_address,0.001187207138545297,-2.1933372278968613e-05,hook
64,hook_has_question,0.0003564695479386495,-0.00014532061774797533,hook
65,silence_stretch,0.0,0.0,audio_speech
66,pitch_std,0.0,0.0,audio_speech
67,pitch_mean,0.0,0.0,audio_speech
68,voiced_frac,0.0,0.0,audio_speech
69,time_pct,0.0,0.0,temporal
