model,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
local_knn,0.8574489109074455,0.9115927675590347,0.055355176851845996,0.05008264235780255,0.018147294702620043,0.017600820957950847
regressor,0.8514658997643172,0.9055207625497252,0.06641133002740854,0.06266818131962315,0.01905733729593418,0.01875633054290304
hybrid,0.8558312048315521,0.859208720338455,0.07480225220149565,0.06819371841155282,0.021737590504129392,0.019040276901027824
stacked,0.852576087388669,0.9039302574283007,0.08469664070598644,0.08039552612018924,0.019731926232292512,0.021947626825112202
baseline,0.8562247040135657,0.9108715406795054,0.12878946929343338,0.11561046922557507,0.019785048993853308,0.018044919191350095
ranker,0.8557543713643936,0.8291752931824817,0.5508104092482031,0.5396793672126278,0.02830018984581727,0.01900087693766976
shape_only,0.40676670980425383,0.5441311206112098,0.6690250562286684,0.6538984308130567,0.04472664371976035,0.03073164146093419
