time_sec,baseline_retention,baseline_std
318,72.87,11.24
319,72.86,11.25
320,72.85,11.26
321,72.83,11.26
322,72.83,11.25
323,72.82,11.24
324,72.82,11.22
325,72.81,11.21
326,72.81,11.2
327,72.81,11.18
328,72.8,11.17
329,72.8,11.15
330,72.8,11.14
331,72.8,11.13
332,72.79,11.12
333,72.79,11.11
334,72.79,11.1
335,72.79,11.09
336,72.79,11.09
337,72.78,11.08
338,72.78,11.08
339,72.78,11.08
340,72.78,11.07
341,72.78,11.08
342,72.78,11.07
343,72.79,11.07
344,72.79,11.07
345,72.8,11.07
346,72.8,11.08
347,72.8,11.08
348,72.81,11.09
349,72.81,11.11
350,72.81,11.12
351,72.81,11.13
352,72.81,11.15
353,72.82,11.16
354,72.82,11.18
355,72.82,11.2
356,72.82,11.21
357,72.83,11.23
358,72.83,11.25
359,72.83,11.27
360,72.83,11.28
361,72.83,11.29
362,72.82,11.29
363,72.81,11.28
364,72.8,11.27
365,72.79,11.26
366,72.79,11.25
367,72.78,11.24
368,72.77,11.24
369,72.76,11.23
370,72.75,11.22
371,72.74,11.22
372,72.73,11.21
373,72.72,11.21
374,72.71,11.2
375,72.7,11.2
376,72.69,11.2
377,72.68,11.2
378,72.67,11.19
379,72.66,11.19
380,72.65,11.19
381,72.64,11.17
382,72.63,11.15
383,72.62,11.13
384,72.61,11.11
385,72.6,11.09
386,72.59,11.07
387,72.58,11.05
388,72.57,11.03
389,72.56,11.02
390,72.56,11.0
391,72.55,10.99
392,72.54,10.97
393,72.53,10.96
394,72.52,10.95
395,72.51,10.94
396,72.5,10.93
397,72.49,10.92
398,72.48,10.91
399,72.47,10.91
400,72.47,10.9
401,72.47,10.89
402,72.46,10.89
403,72.46,10.88
404,72.46,10.88
405,72.46,10.87
406,72.46,10.87
407,72.46,10.87
408,72.45,10.86
409,72.45,10.86
410,72.45,10.86
411,72.45,10.86
412,72.45,10.86
413,72.45,10.86
414,72.45,10.86
415,72.44,10.87
416,72.44,10.87
417,72.44,10.88
418,72.44,10.88
419,72.43,10.89
420,72.43,10.89
421,72.42,10.89
422,72.41,10.89
423,72.4,10.89
424,72.39,10.89
425,72.39,10.89
426,72.38,10.89
427,72.37,10.89
428,72.36,10.89
429,72.35,10.9
430,72.34,10.9
431,72.33,10.9
432,72.32,10.91
433,72.31,10.92
434,72.3,10.92
435,72.29,10.93
436,72.28,10.93
437,72.27,10.94
438,72.26,10.95
439,72.24,10.96
440,72.21,10.98
441,72.17,11.0
442,72.13,11.03
443,72.1,11.05
444,72.06,11.08
445,72.02,11.11
446,71.98,11.14
447,71.94,11.18
448,71.9,11.21
449,71.87,11.25
450,71.83,11.28
451,71.8,11.31
452,71.76,11.35
453,71.73,11.38
454,71.69,11.42
455,71.66,11.46
456,71.63,11.49
457,71.6,11.53
458,71.56,11.56
459,71.54,11.58
460,71.51,11.58
461,71.49,11.58
462,71.46,11.58
463,71.44,11.58
464,71.42,11.58
465,71.39,11.58
466,71.37,11.59
467,71.34,11.59
468,71.32,11.6
469,71.3,11.6
470,71.27,11.61
471,71.25,11.62
472,71.22,11.64
473,71.2,11.65
474,71.18,11.66
475,71.15,11.67
