2026-03-20 22:49:56,168 INFO Tuned JSON: applied loss / optimizer / window / feature-filter params (architecture kept from CLI — use --tuned-apply-architecture to override).
2026-03-20 22:49:56,168 INFO Saved tuned payload copy -> experiments/transformer_exp/v4_tuned/tuned_params_applied.json
2026-03-20 22:49:56,168 INFO Merged tuned params from /home/kolya/ilya/seenx-ml/configs/tuned_tabular_transformer.json
2026-03-20 22:49:56,168 INFO Loading merged data...
2026-03-20 22:49:56,706 INFO Loaded hnyYg62DY4E: 101 rows, 84 cols (output+llm)
2026-03-20 22:49:56,715 INFO Loaded iKGmIRAfmCM: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,726 INFO Loaded iP_siVZjbzc: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,738 INFO Loaded ib29EiVnmJM: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,747 INFO Loaded ie3vumn9Je4: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,758 INFO Loaded jPVQgOI33V0: 101 rows, 122 cols (output+llm)
2026-03-20 22:49:56,766 INFO Loaded jTtvWTti3b0: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,771 INFO Loaded kifrPvJigCU: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,783 INFO Loaded lLoSngvynB8: 101 rows, 120 cols (output+llm)
2026-03-20 22:49:56,791 INFO Loaded lYAEH2n3I58: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,798 INFO Loaded lgeLlSArJXU: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,805 INFO Loaded mBzEZBF1a_U: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,810 INFO Loaded mM6sYTdPZ-0: 100 rows, 52 cols (output+llm)
2026-03-20 22:49:56,818 INFO Loaded pfacUo-6wNs: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,824 INFO Loaded porv8WwTSgc: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,832 INFO Loaded q607HENWvqY: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,839 INFO Loaded qoqjZR52lOQ: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,846 INFO Loaded rJxhpVu7BhU: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,857 INFO Loaded sujXtr4AVRU: 101 rows, 120 cols (output+llm)
2026-03-20 22:49:56,863 INFO Loaded szF7osJgt-A: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,870 INFO Loaded vVZDZxRRXDI: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,878 INFO Loaded v_puTGCZjnA: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,883 INFO Loaded vopiJ3KKT-k: 100 rows, 52 cols (output+llm)
2026-03-20 22:49:56,889 INFO Loaded wS79wHHkjjw: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,894 INFO Loaded wWtq4RlbRos: 101 rows, 52 cols (output+llm)
2026-03-20 22:49:56,900 INFO Loaded xK0GkyIVzq4: 101 rows, 41 cols (output+llm)
2026-03-20 22:49:56,911 INFO Loaded xZnMwJQ4mfc: 101 rows, 120 cols (output+llm)
2026-03-20 22:49:56,923 INFO Loaded yKC5nekLvbs: 101 rows, 120 cols (output+llm)
2026-03-20 22:49:56,930 INFO Loaded yXaJpj7Bb9w: 101 rows, 41 cols (output+llm)
2026-03-20 22:49:56,943 INFO Loaded yv4o4Epz1eM: 101 rows, 120 cols (output+llm)
2026-03-20 22:49:56,944 INFO Total videos loaded: 87 (87 output, 0 snapshot-only)
2026-03-20 22:49:58,108 INFO Embedding PCA visual: 75.9% explained by 24 components
2026-03-20 22:49:58,108 INFO Embedding PCA audio: 88.1% explained by 24 components
2026-03-20 22:49:58,108 INFO Embedding PCA text: 59.9% explained by 24 components
2026-03-20 22:49:58,378 INFO Embedding PCA: added 72 features (87 videos with embeddings / 87 total)
2026-03-20 22:49:58,378 INFO Videos: ['138P93_Z_u0', '1J5zlq2Vs3Y', '39R6j9qkzPo', '3G6JrAq-w4M', '3MncoqWP_qg', '3PBo1GiAlbs', '3WA4YT8fkx8', '4WcGtcKKoWg', '6Ha1lqRKMig', '6_qPAwOsDi0', '7g_56jn0NCA', '8YXWaEo201o', '8__NWVjeyZ8', '9B3N8I4Vidc', 'BZEZxzRJ-L4', 'Db6f982wxPg', 'DhFuAhFMvm
