video_id,split,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
e21aHqRYPKE,train,0.9914531322491535,0.9630499377207777,2.4888010842258854,1.1742608854086092,1.3851486737063274,1.6897045492815552
GfEdSBXxyHA,train,0.9936329012378496,0.9728522909487958,2.3988765295712873,1.1748050651927984,1.7092573636729849,2.411504323564907
JXTBwlW02No,train,0.9707158382107632,0.9465424418808213,2.448982772305837,1.2998956359258973,2.096285267367399,2.235511638582784
RkwsqGM4_DE,train,0.9717438813150027,0.9729730973770259,1.830534659424274,1.3200684349135596,1.6900183179006545,2.7030376829634997
Db6f982wxPg,train,0.9966870358137628,0.9874839192560045,1.8242877924674032,1.4238739391364674,0.8213215419016381,1.3452121151347411
S_o49-nmh5w,train,0.9706032922166417,0.9596634728479976,2.6982117370718113,1.437265226156405,1.6421540790495044,2.2029095569915076
eLSgNBnpeRg,train,0.9802557356561397,0.9763463646538321,2.4489181271564804,1.4391122572492845,2.681565325446126,4.6872076745240925
bK-1Mfb93uA,train,0.9844862319682426,0.9734880010975392,2.643705689847927,1.4800166139508244,1.2500857654461834,1.385213155653182
YoGUM0AsXJI,train,0.9951868226746614,0.9713824996886193,2.6613776595479854,1.5711909756802098,1.4708630289714832,2.017281095174576
Fr4ZqY97Bco,train,0.9884015171226529,0.9700554366937214,3.2927186380026967,1.6640021824600681,1.829611864857556,2.349199992136496
LH3DvvXTxzc,train,0.9867504124206752,0.9822782694189482,2.449135356272585,1.6672523800689396,1.9554705666500674,3.0971779278223
dx7dMwMXSAA,train,0.9919960160882435,0.9691885127144256,2.6858022763170997,1.7527931893225952,0.9621600914562196,1.3064570020358814
8YXWaEo201o,val,0.9732815455800929,0.959669469802966,2.5107691689905907,1.7685063805910615,1.463176002984118,2.220654969592779
lgeLlSArJXU,train,0.9545542237480547,0.9535155484604478,3.2497952531528584,1.7761853284174853,2.319801470022668,3.6292419230373376
Mc0b511IaVU,train,0.9971473787673093,0.9755983972607378,2.8707250886361595,1.790221903583791,1.2890725609049654,1.5010893159264767
q607HENWvqY,train,0.959964278037528,0.9566069485970569,3.159889684011437,1.795618793751934,2.3826852388526722,3.2414966068609132
jTtvWTti3b0,train,0.9894112404477943,0.9756058806865611,2.5393129439673308,1.831027606926342,0.9343307407367799,1.4747990820016523
kifrPvJigCU,train,0.9692797825831139,0.9307687764058576,3.5982514472867027,1.9091660150206915,2.323110884163942,3.0860179391690434
