model,spearman,pearson,rmse,mae
regressor,0.895867848225767,0.9493327749222441,0.04645821725144352,0.03816140381798095
stacked,0.8873682443912924,0.9386968314127673,0.0544792550341809,0.0462200681264022
hybrid,0.8878004276371131,0.8749418156449189,0.06514234226821643,0.04929800654794958
baseline,0.8883766719648741,0.9184857018408777,0.12169140826768983,0.10316481507032142
ranker,0.8877524072764664,0.8491603726859897,0.4807739089901965,0.4674431241816304
