time_ratio,audience_watch_ratio,relative_retention_performance
0.0,1.1325,
0.0,1.1325,
0.009933774834437087,0.96,
0.019867549668874173,0.8925,
0.029801324503311258,0.87,
0.039735099337748346,0.8625,
0.05132450331125828,0.8475,
0.06125827814569536,0.8325,
0.07119205298013245,0.8325,
0.08112582781456953,0.825,
0.09105960264900662,0.8325,
0.10099337748344371,0.825,
0.1109271523178808,0.825,
0.1208609271523179,0.825,
0.13079470198675497,0.825,
0.14072847682119205,0.8175,
0.152317880794702,0.8175,
0.16225165562913907,0.81,
0.17218543046357615,0.81,
0.18211920529801323,0.8025,
0.19205298013245034,0.795,
0.20198675496688742,0.795,
0.21192052980132448,0.7875,
0.2218543046357616,0.78,
0.23178807947019867,0.78,
0.2417218543046358,0.765,
0.2533112582781457,0.7575,
0.2632450331125828,0.75,
0.2731788079470199,0.75,
0.28311258278145696,0.75,
0.29304635761589404,0.7425,
0.3029801324503311,0.735,
0.3129139072847682,0.735,
0.3228476821192053,0.735,
0.33278145695364236,0.7275,
0.34271523178807944,0.72,
0.3543046357615894,0.72,
0.36423841059602646,0.7125,
0.3741721854304636,0.7125,
0.3841059602649007,0.72,
0.39403973509933776,0.6975,
0.40397350993377484,0.6825,
0.4139072847682119,0.6825,
0.42384105960264895,0.6825,
0.4337748344370861,0.675,
0.4437086092715232,0.675,
0.4552980132450331,0.675,
0.46523178807947024,0.6675,
0.47516556291390727,0.66,
0.48509933774834435,0.66,
0.4950331125827814,0.6525,
0.5049668874172185,0.6525,
0.5149006622516556,0.645,
0.5248344370860927,0.645,
0.5347682119205298,0.6375,
0.5447019867549668,0.63,
0.5562913907284768,0.63,
0.5662251655629139,0.63,
0.5761589403973509,0.63,
0.5860927152317881,0.6225,
0.5960264900662252,0.6225,
0.6059602649006622,0.6075,
0.6158940397350994,0.6075,
0.6258278145695364,0.6,
0.6357615894039735,0.6,
0.6456953642384106,0.6,
0.6572847682119205,0.6,
0.6672185430463576,0.5925,
0.6771523178807947,0.5925,
0.6870860927152318,0.5850000000000001,
0.6970198675496688,0.5774999999999999,
0.706953642384106,0.5774999999999999,
0.7168874172185431,0.5774999999999999,
0.7268211920529801,0.57,
0.7367549668874173,0.57,
0.7466887417218543,0.57,
0.7582781456953642,0.57,
0.7682119205298014,0.57,
0.7781456953642384,0.57,
0.7880794701986755,0.57,
0.7980132450331126,0.5625,
0.8079470198675497,0.5625,
0.8178807947019867,0.5625,
0.8278145695364238,0.5625,
0.8377483443708609,0.555,
0.8476821192052979,0.555,
0.8592715231788081,0.555,
0.8692052980132451,0.5625,
0.8791390728476821,0.54,
0.8890728476821192,0.54,
0.8990066225165563,0.5475,
0.9089403973509933,0.54,
0.9188741721854303,0.5325,
0.9288079470198676,0.525,
0.9387417218543046,0.525,
0.9486754966887418,0.5175,
0.9602649006622517,0.5175,
0.9701986754966887,0.5175,
0.9801324503311257,0.495,
0.9900662251655628,0.39,
1.0,0.3225,
