time_ratio,audience_watch_ratio,relative_retention_performance
0.0,1.0275,
0.009933774834437087,0.765,
0.018211920529801324,0.8325,
0.028145695364238416,0.765,
0.03642384105960265,0.735,
0.046357615894039736,0.645,
0.054635761589403975,0.5025,
0.06456953642384106,0.45,
0.0728476821192053,0.405,
0.08278145695364239,0.4275,
0.09105960264900662,0.36,
0.10099337748344371,0.33,
0.10927152317880795,0.3075,
0.11920529801324502,0.3075,
0.12748344370860928,0.3075,
0.13741721854304637,0.36,
0.14735099337748345,0.36,
0.15562913907284767,0.33,
0.16556291390728478,0.33,
0.173841059602649,0.36,
0.1837748344370861,0.33,
0.19205298013245034,0.33,
0.20198675496688742,0.33,
0.21026490066225165,0.33,
0.2201986754966887,0.3075,
0.22847682119205298,0.3075,
0.23841059602649003,0.33,
0.24668874172185432,0.33,
0.25662251655629137,0.36,
0.26655629139072845,0.33,
0.27483443708609273,0.33,
0.2847682119205298,0.3075,
0.29304635761589404,0.3075,
0.3029801324503311,0.33,
0.31125827814569534,0.33,
0.3211920529801324,0.3075,
0.3294701986754967,0.33,
0.33940397350993373,0.36,
0.347682119205298,0.33,
0.3576158940397351,0.36,
0.3658940397350993,0.36,
0.3758278145695364,0.36,
0.3841059602649007,0.36,
0.39403973509933776,0.36,
0.40397350993377484,0.36,
0.4122516556291391,0.36,
0.42218543046357615,0.3075,
0.4304635761589404,0.3075,
0.4403973509933774,0.33,
0.4486754966887417,0.33,
0.4586092715231788,0.33,
0.46688741721854304,0.33,
0.47682119205298007,0.3075,
0.48509933774834435,0.285,
0.49503311258278143,0.3075,
0.5033112582781457,0.3075,
0.5132450331125827,0.285,
0.5231788079470199,0.285,
0.5314569536423841,0.33,
0.5413907284768212,0.33,
0.5496688741721855,0.3075,
0.5596026490066225,0.3075,
0.5678807947019867,0.3075,
0.5778145695364238,0.3075,
0.5860927152317881,0.3075,
0.5960264900662252,0.3075,
0.6043046357615894,0.3075,
0.6142384105960265,0.3075,
0.6225165562913907,0.3075,
0.6324503311258278,0.3075,
0.640728476821192,0.3075,
0.6506622516556292,0.3075,
0.6605960264900662,0.2625,
0.6688741721854303,0.285,
0.6788079470198675,0.285,
0.6870860927152318,0.285,
0.6970198675496688,0.285,
0.7052980132450332,0.3075,
0.7152317880794702,0.3075,
0.7235099337748344,0.3075,
0.7334437086092715,0.285,
0.7417218543046358,0.285,
0.7516556291390728,0.285,
0.7599337748344371,0.285,
0.7698675496688742,0.285,
0.7798013245033113,0.285,
0.7880794701986755,0.3075,
0.7980132450331126,0.3075,
0.8062913907284768,0.3075,
0.8162251655629139,0.285,
0.8245033112582782,0.285,
0.8344370860927154,0.285,
0.8427152317880795,0.3075,
0.8526490066225166,0.3075,
0.8609271523178808,0.285,
0.8708609271523179,0.285,
0.8791390728476821,0.285,
0.8890728476821192,0.3075,
0.8973509933774834,0.33,
0.9072847682119205,0.3075,
