video_id,split,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
iP_siVZjbzc,train,0.9970053443134419,0.9954317619771947,1.3160578987056963,1.0836028297348783,0.8916745957425388,1.4795981822020854
jPVQgOI33V0,train,0.9959582135346124,0.9904788464441141,1.704614042328617,1.1337934059671841,1.3104602263489498,1.696295638326675
YoGUM0AsXJI,train,0.9981529025825049,0.995767143332217,1.5189014321312502,1.1995423571898205,0.8725007815072172,1.3015911206604382
q607HENWvqY,train,0.9831466408584141,0.9874064373712441,1.7460093442478686,1.2000038600204013,1.862998911828005,2.9510018477738322
Fr4ZqY97Bco,train,0.9944091337130934,0.9929739313322404,1.775715509665314,1.3118998461430613,1.2682333544828528,1.9833273257651487
mBzEZBF1a_U,train,0.9559404746577757,0.9901081989122411,1.7076262549677423,1.3223057926291286,1.693295713810394,2.9014251567974276
dx7dMwMXSAA,train,0.9897330359300724,0.9869715423537043,1.842511068706746,1.342625457461517,1.4935611021482091,2.320719613084642
EhAdb6fIEe0,train,0.9918150608996442,0.9905830412706752,1.76392468356497,1.4192545673634758,1.5003270799675894,2.5225460847886336
EFxlvlchMw8,train,0.9745660022822127,0.9790515385097828,2.0193703420016162,1.4447880735491758,1.747939116015904,2.6699778028857337
W6enyqR-1Jw,train,0.9862322626035673,0.990576667292301,1.9955511351649078,1.5693143334719222,1.5675035175380643,2.457696901352082
GthDbmZFW-w,train,0.9808964165347749,0.982203612304517,2.150047387408741,1.6094793187509668,1.834633595377267,2.8554504679686876
3MncoqWP_qg,val,0.9890930206707229,0.9837838634737557,2.0925271210227914,1.654590757766572,1.8321125963453284,3.101740946102303
LH3DvvXTxzc,train,0.9971532703424708,0.9846685126605156,2.1998734818667383,1.678810723937384,1.14441555461672,1.686341792357195
xK0GkyIVzq4,train,0.9711599786368256,0.9694132502514232,3.0147350120538587,1.7361377300602374,2.7190830008370535,3.8247050710248183
qoqjZR52lOQ,train,0.9796843320832754,0.9795481903973141,2.546244189485992,1.8227326610300798,1.9801815034173558,2.5076681087540824
jTtvWTti3b0,train,0.9900872548896325,0.9850765703731006,2.515619415000029,1.9619223717415686,1.8989334233646085,3.0614763620995085
GfEdSBXxyHA,train,0.9921408724336258,0.9857125346873156,2.500647301287647,2.0859547227916155,1.4720302115037591,2.4102460770923493
RhVq2oJpsEY,train,0.9907954470294145,0.9903354656832248,2.492038399267202,2.1010601685778934,1.6135102793312692,2.7232443705772735
ib29EiVnmJM,train,0.980507929529951,0.9906994135166951,2.5505207819814335,2.109808308063168,1.897831011188704,3.1655884342453766
vVZDZxRRXDI,train,0.9767236540044656,0.9855184664602683,2.471402890947879,2.1516637141161628,2.115608942315282,3.688532810849539
8YXWaEo201o,val,0.9844615170748678,0.9656928458125851,3.0074661377177705,2.220708752622699,1.4405920677776516,1.7596432798617356
8__NWVjeyZ8,train,0.9553677702388982,0.9649688063942775,3.4634381786187003,2.3757707576940557,3.5707037423860815,5.889567842725118
Db6f982wxPg,train,0.9975961931447433,0.983245723603549,2.99158010921403,2.4019588810382504,1.0270177496956614,1.2743032656613167
6_qPAwOsDi0,val,0.9964514281196041,0.9842384531765578,2.946316878376179,2.4191399753683864,1.1688897943319823,1.781886211300866
eLSgNBnpeRg,train,0.9939022846242588,0.9732379689438192,3.404729512251808,2.6910875905858402,1.3389142332476724,2.1721791682628266
S_o49-nmh5w,train,0.9963035536312318,0.9907658391685946,3.161037905451648,2.7917036679711673,0.9121798398426884,1.323633408060347
e21aHqRYPKE,train,0.9935287778946555,0.9941743023821725,3.4151291814407547,2.9861549528518525,1.0779015292727792,1.8287486944914733
rJxhpVu7BhU,train,0.9829760371559876,0.9880891979585587,3.5509888841299837,3.2355318730420404,1.9390938454733144,3.2536285558156393
JXTBwlW02No,train,0.9693202170399364,0.9682452646563222,3.959405265661797,3.2502665378079554,1.5382415885211773,1.9999399796979118
v_puTGCZjnA,train,0.9791594518839574,0.9616181833617463,3.7381712343104665,3.279357079232093,1.9530292497586916,3.123254737898746
9B3N8I4Vidc,train,0.9593264539892561,0.9559313850675071,3.6927731936910813,3.3064906054204055,2.9640360060477215,4.955928472375111
bK-1Mfb93uA,train,0.9945434323978651,0.980633022792465,3.83381580946246,3.3992630986884076,1.0830261439301163,1.6795763025184958
