name,rmse,mae
ad_peak_weighted,0.08702311404148955,0.061534634058707516
local_knn,0.09350228344627481,0.0661160986812876
peak_weighted,0.09382668270396699,0.06634548359621362
regressor,0.09408837344104251,0.08039602508692036
residual_huber,0.10505608062011271,0.07428586701136233
conservative_catboost,0.11162618709454804,0.0789316338525532
meta_ensemble,0.11878004074292856,0.08399017227893918
residual_huber_smoke,0.11879393923933998,0.08399999999999999
kernel_baseline,0.11920015417536757,0.08428723733588436
stacked,0.11935133747432704,0.08439414007178075
blended_quantile,0.13139470707414996,0.09291008838415146
ranker,0.19091883092036785,
shape_only_smoke,0.23087036405740774,0.16324999999999998
shape_only,0.2998132752230961,0.21199999999999997
