feature,importance
out__rms__median,0.24977709382558796
out__overlay_prob__mean,0.24953190860722368
out__loudness_variance__q25,0.24867380897234317
out__rolloff__median,0.2386127266263252
out__speaker_prob__q25,0.23205758409072072
out__rolloff__mean,0.23092614415476156
out__pause_rate__std,0.2307305437124964
evidence_analytical_intervals,0.22680385347974355
out__zcr__q25,0.22630888269783753
out__brightness__q25,0.22145004163746385
out__speaker_prob__median,0.22051281397333825
out__loudness_change__q25,0.21981521937828238
out__rms__mean,0.2135959223813209
out__zcr__q75,0.2131382670126881
out__centroid__q75,0.20976638423453067
out__radial_ratio__median,0.20694478059802654
out__loudness_variance__q75,0.20255802412750587
out__crutch_cnt__trend,0.19697983973911076
out__wps__trend,0.19554838005451083
evidence_authority_intervals,0.1922812389830822
out__speech_complexity__median,0.1910448676871127
out__brightness__mean,0.18591823822699763
out__zcr__median,0.18433890813579326
out__brightness__median,0.18350545939471358
out__lexical_diversity__trend,0.18062149288435342
out__speech_complexity__trend,0.1793821019255262
out__speech_complexity__mean,0.17688816263104673
out__voiced_frac__median,0.17305293918969689
out__loudness_change__q75,0.17274124882385342
out__cultural_ref_cnt__trend,0.17160676859871007
out__voiced_frac__q25,0.16483423702637098
out__loudness_change__mean,0.16340369465030347
out__speech_complexity__max,0.16173842349819367
out__avg_word_length__std,0.16132551942278245
out__speech_complexity__min,0.15782939647338579
out__ekman_sadness__max,0.15701847689444084
out__beat_sync__trend,0.156067390670628
out__avg_word_length__trend,0.15575188198439988
out__voiced_frac__q75,0.15574578039953096
out__viewer_address__trend,0.15503779556849223
out__pause_rate__max,0.15418752120522763
out__wps__median,0.15331180249141393
out__loudness_change__median,0.15075638500655214
out__overlay_prob__median,0.15046274684022362
integration_suggested_next_step_present,0.14832069695467784
out__voiced_frac__mean,0.14767682550257363
out__zcr__mean,0.1466564687118574
out__wps__mean,0.14282501148977905
out__syntactic_depth__std,0.1425223768970928
out__loudness_variance__median,0.14061338643198984
out__loudness_variance__mean,0.14023013671671497
out__beat_sync_ratio__trend,0.13849236066301213
out__speech_complexity__std,0.13767294658037657
out__bumper_score__max,0.13679388712166377
out__ekman_joy__trend,0.13254944290607024
out__crutch_cnt__max,0.1324689542689477
out__edit_pace__max,0.13170162512168532
out__wps__q75,0.12954615437304237
integration_evidence_count_max,0.12909240002234515
out__syntactic_depth__trend,0.1282180423152952
out__scene_novelty__trend,0.12677972622978848
out__avg_word_length__max,0.12417255052294673
abstract_intervals_total,0.12391750319422008
out__speech_complexity__q75,0.12196200464689153
out__viewer_engagement__q25,0.12179779861368492
out__viewer_address__max,0.12116132810828702
out__lexical_diversity__min,0.12086443922936266
out__speech_complexity__q25,0.12085180447562778
out__unique_classes__q25,0.12048400395751027
out__chapter_id__q75,0.11971502095059709
out__ekman_excitement__trend,0.11671332547918463
out__wps__std,0.1163541704024039
out__voiced_frac__min,0.11595724407197343
out__unique_classes__trend,0.11585040663737427
out__syntactic_depth__min,0.11581612977901923
out__n_chapters__trend,0.11539397423557221
out__pitch_mean__min,0.11494836013032157
out__cumulative_info__trend,0.11232406178205608
out__visual_momentum__max,0.11222716514577954
out__ekman_intensity__trend,0.11016253410685795
expectation_alignment_score,0.10998133695633652
out__aesthetic_score__min,0.10951177194868819
out__lexical_diversity__std,0.10936791833763623
out__visual_topic_shift__min,0.10658382125730262
out__scene_novelty__mean,0.10651814862040627
out__visual_hook_similarity__std,0.10542610643119703
out__topic_change_rate__median,0.10493507501613135
out__pitch_std__min,0.10470579912931925
out__storytelling__trend,0.1041321192016599
out__curiosity_gap__trend,0.10350724543495551
out__ekman_sadness__trend,0.10116708159833962
out__viewer_address__mean,0.10091602834996041
out__audio_hook_similarity__std,0.09938057781690479
out__topic_change_rate__q75,0.0990237711130871
out__audio_novelty__trend,0.09888167144185048
out__visual_self_similarity__q75,0.09857798896714406
out__visual_hook_similarity__median,0.09771126468692812
out__segment_self_similarity__trend,0.09763546303874902
out__avg_word_length__q25,0.09742991996502093
out__audio_hook_similarity__max,0.09728483342052009
out__syntactic_depth__q75,0.09723980761362165
out__audio_self_similarity__max,0.09707499350293462
out__depth_variance__trend,0.09688317621434714
out__cultural_ref_cnt__std,0.09625174857300792
out__topic_shift__trend,0.0962195025710547
out__audio_hook_similarity__trend,0.0958572697596269
out__is_ad__max,0.09571897996158724
out__information_density__max,0.09455835541468474
integration_present,0.09353262229608113
out__audio_novelty__min,0.09233915772173742
out__has_example__trend,0.09208202416836742
out__object_count__q25,0.09113782192455146
out__hook_similarity__max,0.0908452949057074
out__audio_hook_similarity__q75,0.09080996613139578
out__visual_hook_similarity__min,0.09072963482113186
out__visual_self_similarity__min,0.09055367441578839
out__audio_topic_shift__max,0.09048237068545238
out__syntactic_depth__mean,0.09030273527570612
out__syntactic_depth__q25,0.08890219292063628
out__curiosity_gap__mean,0.08826226822772755
out__crutch_cnt__mean,0.0875415692512585
out__hook_has_address__trend,0.08742670954680369
out__unique_classes__q75,0.0871191282000642
out__aesthetic_score__std,0.08683729760468159
out__hook_score__trend,0.08664572329420278
out__hook_similarity__mean,0.08664421648199878
out__beat_sync_ratio__mean,0.08658206812418848
out__topic_shift__min,0.08630528049131284
out__hook_similarity__trend,0.08587560590076204
out__beat_sync__std,0.08561508742905469
out__depth_variance__min,0.08528761410979661
out__cumulative_info__min,0.08522861689659549
out__storytelling__std,0.08517113225089308
out__visual_topic_shift__max,0.08454953200435884
out__lexical_diversity__q25,0.08427523400557833
out__viewer_engagement__q75,0.08423214546973735
out__depth_mean__trend,0.08407462214529697
out__scene_novelty__std,0.08406056669091985
out__ekman_neutral__max,0.08402980181713347
out__topic_change_rate__trend,0.08391105582399122
out__depth_mean__max,0.08336060224928664
out__storytelling__max,0.08316578367074906
out__aesthetic_score__trend,0.08280598914724492
out__visual_hook_similarity__q75,0.08271050864174023
out__viewer_engagement__trend,0.08270324702736458
out__avg_word_length__min,0.08270050595580004
out__viewer_address__std,0.08244064628365469
out__has_example__std,0.08240429485489104
out__audio_momentum__max,0.08182576045154041
out__aesthetic_score__q75,0.08167557701828729
out__avg_word_length__q75,0.08138168920603375
out__depth_variance__std,0.08135581568939883
out__audio_novelty__std,0.08090377569644627
out__audio_self_similarity__min,0.08089801811959482
out__aesthetic_score__max,0.08086277031975943
out__wps__q25,0.08048206634838287
out__edit_pace_x_screencast__std,0.0794182295984032
out__ekman_neutral__trend,0.07890016906287817
out__question_density__std,0.07883809450669663
out__visual_self_similarity__max,0.07845832949873906
out__n_chapters__mean,0.0781788075523195
out__topic_change_rate__std,0.0779753898581936
out__scene_novelty__median,0.0778669709366094
out__scene_novelty__q75,0.0773628991550719
out__has_example__max,0.07667542589812637
out__question_density__median,0.07612980496201154
out__semantic_novelty__trend,0.07604429539108762
out__storytelling__q75,0.07550676290921891
out__beat_sync_ratio__std,0.07530694167620156
out__depth_mean__min,0.07520597341426541
out__information_density__q25,0.07502185692579985
out__audio_topic_shift__q25,0.07488606445576121
out__viewer_engagement__median,0.07458721070957897
out__ekman_neutral__q75,0.07445654667410487
out__object_count__trend,0.07434477631898848
out__semantic_momentum__max,0.07418734985621926
out__depth_variance__max,0.07410161278279276
out__is_outro__trend,0.07400676994444584
out__object_count__median,0.07395293581759924
out__is_question__trend,0.07372748872837316
out__question_density__trend,0.07246837809678766
out__ekman_intensity__min,0.07246470692522851
integration_confidence,0.0716113196037317
out__ekman_sadness__std,0.07150188308032512
out__audio_momentum__std,0.07140364728208731
out__lexical_diversity__mean,0.0713377271349293
out__is_outro__mean,0.07115703456042204
out__information_density__min,0.07102546975677529
out__crutch_cnt__std,0.07081749196271712
out__semantic_momentum__trend,0.07009403411451813
out__audio_hook_similarity__q25,0.07008972971062777
out__ekman_excitement__max,0.06974894390975608
out__wps__max,0.06930786085937661
out__edit_pace_x_screencast__mean,0.06893967634402756
out__semantic_novelty__q25,0.0689270325074969
out__segment_self_similarity__q75,0.06855478580980254
out__depth_mean__mean,0.0678464016913636
out__ekman_neutral__std,0.06781544649590729
out__syntactic_depth__max,0.06778931307252606
out__topic_shift__max,0.06775065781317002
out__depth_mean__q75,0.06721377203058722
out__n_chapters__median,0.06684052376164798
out__information_density__trend,0.06650227889186418
out__visual_self_similarity__trend,0.06640083784264082
out__beat_sync__max,0.0663662940401358
out__hook_similarity__q75,0.06601410015788749
out__text_prob__median,0.0659812173266531
out__edit_pace_x_screencast__max,0.06568271119177194
out__visual_topic_shift__median,0.06534179480009686
out__visual_hook_similarity__trend,0.06517095304949502
out__is_ad_x_viewer_address__mean,0.06461174756656765
out__question_density__q75,0.06450831680570979
out__avg_word_length__median,0.06426332029363838
out__audio_self_similarity__std,0.06403352904111634
out__topic_shift__median,0.06396664882106658
out__chapter_id__std,0.06356675225041157
out__audio_self_similarity__q75,0.06340188812242217
out__edit_pace_x_screencast__trend,0.06313253585473667
out__visual_topic_shift__std,0.06304615446056971
out__ekman_joy__min,0.06252045224361621
out__chapter_id__mean,0.06238897646776933
out__visual_momentum__trend,0.062150382692186125
out__aesthetic_score__q25,0.062032302922962204
out__visual_hook_similarity__q25,0.06163035187034159
out__is_ad__mean,0.06112086643794307
out__cultural_ref_cnt__q25,0.060566163917223206
out__semantic_momentum__q25,0.060407242594297805
out__visual_hook_similarity__max,0.06030817058666581
out__visual_momentum__std,0.06027620986425142
out__audio_self_similarity__trend,0.06009999781593621
out__visual_momentum__median,0.059479832479891394
out__visual_topic_shift__q25,0.059335195297192264
out__ekman_neutral__q25,0.05911049687847049
out__segment_self_similarity__mean,0.0590424638469617
