time_ratio,audience_watch_ratio,relative_retention_performance
0.0,1.1175,
0.0,1.1175,
0.009933774834437087,0.8925,
0.019867549668874173,0.8325,
0.029801324503311254,0.8175,
0.039735099337748346,0.81,
0.051324503311258284,0.8025,
0.061258278145695365,0.81,
0.07119205298013245,0.81,
0.08112582781456953,0.8025,
0.0910596026490066,0.795,
0.10099337748344371,0.7875,
0.11092715231788079,0.78,
0.12086092715231789,0.7725,
0.13079470198675497,0.765,
0.14072847682119205,0.7575,
0.152317880794702,0.7575,
0.16225165562913907,0.7575,
0.17218543046357615,0.75,
0.1821192052980132,0.7425,
0.19205298013245037,0.7425,
0.20198675496688742,0.735,
0.21192052980132453,0.7275,
0.22185430463576158,0.7275,
0.23178807947019864,0.735,
0.24172185430463577,0.675,
0.2533112582781457,0.615,
0.2632450331125828,0.5850000000000001,
0.2731788079470199,0.5625,
0.28311258278145696,0.555,
0.29304635761589404,0.5475,
0.3029801324503311,0.5475,
0.3129139072847682,0.57,
0.3228476821192053,0.6825,
0.33278145695364236,0.7275,
0.34271523178807944,0.72,
0.3543046357615894,0.705,
0.3642384105960264,0.705,
0.3741721854304636,0.6975,
0.38410596026490074,0.6975,
0.39403973509933776,0.6975,
0.40397350993377484,0.6975,
0.4139072847682119,0.69,
0.42384105960264906,0.69,
0.4337748344370861,0.69,
0.44370860927152317,0.69,
0.4552980132450331,0.6825,
0.46523178807947024,0.6975,
0.47516556291390727,0.6975,
0.48509933774834435,0.69,
0.49503311258278143,0.675,
0.5049668874172185,0.6675,
0.5149006622516556,0.6525,
0.5248344370860927,0.645,
0.5347682119205298,0.645,
0.5447019867549668,0.6375,
0.5562913907284768,0.63,
0.5662251655629139,0.63,
0.5761589403973509,0.6225,
0.5860927152317881,0.6225,
0.5960264900662252,0.6225,
0.6059602649006622,0.615,
0.6158940397350994,0.6075,
0.6258278145695364,0.6075,
0.6357615894039735,0.6075,
0.6456953642384106,0.6075,
0.6572847682119205,0.615,
0.6672185430463576,0.6225,
0.6771523178807947,0.615,
0.6870860927152318,0.5925,
0.6970198675496688,0.5925,
0.706953642384106,0.6,
0.7168874172185431,0.5925,
0.7268211920529801,0.5850000000000001,
0.7367549668874172,0.5774999999999999,
0.7466887417218543,0.5774999999999999,
0.7582781456953642,0.5774999999999999,
0.7682119205298015,0.5774999999999999,
0.7781456953642384,0.5774999999999999,
0.7880794701986755,0.57,
0.7980132450331126,0.57,
0.8079470198675497,0.57,
0.8178807947019868,0.5625,
0.8278145695364238,0.5625,
0.8377483443708609,0.5625,
0.8476821192052981,0.5625,
0.859271523178808,0.5625,
0.8692052980132451,0.555,
0.8791390728476821,0.555,
0.8890728476821192,0.555,
0.8990066225165562,0.5475,
0.9089403973509935,0.5475,
0.9188741721854304,0.5475,
0.9288079470198675,0.54,
0.9387417218543046,0.54,
0.9486754966887417,0.5325,
0.9602649006622518,0.5325,
0.9701986754966887,0.5175,
0.9801324503311258,0.48,
0.9900662251655629,0.39,
1.0,0.345,
