video_id,split,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
W6enyqR-1Jw,train,0.9899911250490818,0.9860021618067379,2.0051444469292963,1.7230336028750586,1.2599035089247963,1.80159768385814
qoqjZR52lOQ,train,0.9832684577687513,0.9699801530537632,2.845823294387948,1.7943571864968484,2.2650322211197316,3.547516205363271
iP_siVZjbzc,train,0.9872346092054561,0.9829200504571749,2.2072634908255386,1.9163870103288403,1.8674549960823392,3.1895237789280735
q607HENWvqY,train,0.9416013757628644,0.9639255665975065,3.0628278112990235,2.281330864028175,1.8289312752280553,2.4623753531189307
vVZDZxRRXDI,train,0.9414999434832507,0.9672770391244018,3.027336914457186,2.3499542840636605,2.3564845176754847,3.812966599550314
xK0GkyIVzq4,train,0.9462267664102748,0.944745069863773,4.082431193350703,2.593442897985477,3.2533864327069533,5.20469572713505
1J5zlq2Vs3Y,val,0.9897421666672471,0.9637045285623947,4.406686255494087,2.8175687223377794,1.4293255765919224,1.8213735587285536
3MncoqWP_qg,val,0.978984182364504,0.96144033875612,3.8564702249778007,2.9099783189225903,2.8543243858814633,4.628700698893616
Fr4ZqY97Bco,train,0.9860532441003954,0.9673190728191965,3.607096137291785,3.167490024377804,2.230692020934076,3.714312746837256
v_puTGCZjnA,train,0.9562912874378727,0.9329341555250549,4.409087717306714,3.1752739708022317,2.6643726015060976,4.179159526812337
pfacUo-6wNs,train,0.9631982652287076,0.8965841559730743,4.909851713443507,3.1790631926885924,1.859729786882093,2.222723513306216
hnyYg62DY4E,train,0.989128837269057,0.9741078013324955,4.502697588484121,3.207744598388672,1.1206597045712612,1.5096257416946912
YubjPoEmzgU,train,0.9787986311481979,0.9590785650584592,3.910433173202708,3.283331011781599,1.8068247677062934,2.766989220711699
ie3vumn9Je4,train,0.9872959652453405,0.9729933763211026,4.574118267794883,3.3375168224372485,1.7929260187043004,2.552625502666949
7g_56jn0NCA,train,0.9340837841208517,0.9336041130592668,4.936785022047807,3.62453566447343,2.6169508430398216,4.142908237161147
LH3DvvXTxzc,train,0.99011895689059,0.9671598935360246,4.636942719825914,3.7786938129085126,1.852878308707001,2.7462095566284024
jPVQgOI33V0,train,0.9864868856379748,0.9689835864764657,4.472136687113797,4.025924040539431,3.0438758125412124,5.043431668719253
rJxhpVu7BhU,train,0.9175590066712718,0.9528518816145731,4.8437208525254265,4.138110472424196,2.7193403138277725,4.07218598670805
138P93_Z_u0,val,0.7414349672077981,0.7807421062765575,7.347356599487818,4.208921564687597,3.879079664136498,5.562259786678916
VYsqc9S5b9E,train,0.8190752179350322,0.8222271362991995,7.142494970056851,4.431124167867226,2.6577153472169885,3.255653517341938
BZEZxzRJ-L4,train,0.9309996215718811,0.9295370583372582,5.432233078276004,4.514097308168318,4.383238481080061,6.9930649116209525
eL9OqXpmvOE,train,0.9902375641719683,0.9511253569714482,6.605149223735483,4.635388893656211,1.314521865303077,1.5898484110020685
yv4o4Epz1eM,train,0.9735210781648305,0.9611110769949379,5.033236449733832,4.637254412811582,3.29928136850565,5.556334278869316
DhFuAhFMvms,train,0.8651710585604268,0.9165586161027444,5.526852286857915,5.015297427035795,2.281993844634569,2.821172824647329
Z6cbf9WN0c4,train,0.7127330874355338,0.76658721164258,7.153637411943409,5.071413210122892,3.307444717557529,4.638861202868737
dx7dMwMXSAA,train,0.9661817115004449,0.9289697302406149,6.3887714874607555,5.073689451312075,3.9217240719101096,7.06906429680417
GthDbmZFW-w,train,0.934675495266781,0.915845333801245,5.7397595583822945,5.102882989562384,3.574692314352393,4.541910920023472
6_qPAwOsDi0,val,0.973626680928359,0.9598821401261152,5.739556249804265,5.114000981396968,2.653257990532535,4.153063596251604
Sf95qeC7BUs,train,0.6983632265194845,0.7903854459338101,6.88965279158594,5.224488173380936,5.786247036469183,9.401239548701872
9B3N8I4Vidc,train,0.7735286491803921,0.8175926795255345,6.477752511411864,5.301578332882117,2.3911409046227625,3.3637753922602114
YoGUM0AsXJI,train,0.9898140806804935,0.9854449602826316,5.8516123475412645,5.574872725080736,1.3974048611183683,2.050443433248181
e21aHqRYPKE,train,0.981488867057684,0.9821372968396234,6.288925877888093,5.71585211423364,1.7598595559089987,2.815589463009447
3PBo1GiAlbs,val,0.8420003618468048,0.8879133387836202,6.260524078219754,5.736469495414507,4.72963839175333,7.783707629134441
8YXWaEo201o,train,0.9767632581426284,0.9568965811781233,6.983688620806742,5.869399533413424,1.5593336786991512,1.9646212447236007
ECP4p12A5FY,train,0.8642569834540139,0.8986711217540604,6.881378299202214,5.939789838129931,3.0003667752391046,4.555335319815733
RhVq2oJpsEY,train,0.9546699950091144,0.956424867839996,6.817513315669526,6.405125759615757,3.5154716672075708,5.904657294169511
lYAEH2n3I58,train,0.9343276077661197,0.9404769032757888,7.987223329398827,6.777912668662496,3.532643071054638,5.4668708068222776
lLoSngvynB8,train,0.9025590099675609,0.9265648242597103,7.6135320278945695,7.259167623992013,2.6570453877249567,3.786198778316829
EhAdb6fIEe0,train,0.9854569358287427,0.978197780784248,7.6063585750564595,7.262046776195564,1.6796187293591802,2.610825896759534
b5gAWk2QuSU,train,0.9771103998107787,0.97891805450788,8.029976796437248,7.350630769635191,2.597635702806077,4.156570142445006
EFxlvlchMw8,train,0.8201763655537684,0.8722639387092535,8.013387969697332,7.591847882412448,2.2230488524558782,2.4735444523052834
S_o49-nmh5w,train,0.9871303039817764,0.9763334456136676,8.133708420043456,7.637002019598933,1.5044185434709718,2.1017529268475026
3WA4YT8fkx8,val,0.9871792866405271,0.9756612916144175,8.51987575234294,8.02464725003384,1.6636765239726814,2.3798336592911795
GfEdSBXxyHA,train,0.9839347140103952,0.9752643608739552,8.715007814057406,8.38984474333206,1.8639915187494605,2.9071092394849107
eLSgNBnpeRg,train,0.9855232336352941,0.9511742430759005,9.145196576809317,8.550637235735902,2.1159565172460013,3.304815034282447
kifrPvJigCU,train,0.9741156522502524,0.9684597573963966,9.439350659475755,8.919504826611812,2.2889845913586613,3.413471153719885
IgJxh-fJTBU,train,0.8401168675402371,0.858346368616512,9.818784063161404,9.234193480841004,3.203875878702747,4.134246003601829
Mc0b511IaVU,train,0.9430159715560804,0.9394064678189801,9.54239738218667,9.264468542420039,3.7488164766342673,5.957864982089103
Q1ZmiQVX9cY,train,0.9880178999066221,0.9766433071804419,10.003753939089895,9.507135419562312,1.4088446057005866,1.8492333449456195
U8e1Pd7aBLY,train,0.9615706162723525,0.9550202233184791,10.113501071941046,9.675972475863919,3.0668370978733326,4.6886356396595446
6Ha1lqRKMig,val,0.8968961299143899,0.8958351717476956,10.873270593257091,9.702499654033396,2.685254061071174,3.960905588541642
39R6j9qkzPo,val,0.9680163554709577,0.9452184765467309,10.162018242065628,9.731456605514678,2.828684496010141,4.571306761187252
lgeLlSArJXU,train,0.8971360697742129,0.9066389838958049,10.197864638832694,9.7594046639924,2.284002256550985,2.7745247109351614
gYHHQNT6100,train,0.9817759217574736,0.9586672340734491,10.858382464295737,9.878494272137633,1.33925078325153,1.573684241761645
vopiJ3KKT-k,train,0.8319772190226833,0.865455966012443,12.030038608581982,10.71351936340332,6.37143520618195,10.149316545050988
