feature,importance
out__voiced_frac__q25,0.22091765868647273
out__sharpness__q25,0.21969879988763744
out__loudness_variance__std,0.21740871093097525
out__is_ad__max,0.2168585304146131
out__flow_mag_med__q75,0.2160287910942153
out__audio_self_similarity__trend,0.21022320470675618
out__sharpness__min,0.20795574769497313
out__hook_has_address__min,0.2071295543109545
out__speech_rate_cv__mean,0.20680791483223684
out__centroid__mean,0.20482326033586024
out__radial_med__q25,0.20143382538520635
out__pause_rate__q75,0.19991732518656075
out__audio_topic_shift__std,0.199382033090111
out__audio_novelty__trend,0.1977106158679941
out__text_prob__mean,0.1972219041343904
out__n_ad_segments__q25,0.1942541458075593
out__n_chapters__median,0.19262832759817228
out__unique_classes__median,0.1910651361416506
out__radial_ratio__q25,0.18986455899593002
out__pitch_std__median,0.18880523655800546
out__unique_classes__q75,0.1870318381711711
out__loudness_variance__mean,0.18678258265960174
emotion__emotional_polarity_ratio,0.1863523761464421
out__radial_ratio__q75,0.18632840875447526
expectation_mismatch_points_count,0.18559977730625016
out__n_ad_segments__mean,0.17894012951975424
out__loudness_change__mean,0.1756643953502007
out__radial_ratio__trend,0.17443049611540964
out__edit_pace__mean,0.1735535517777477
out__is_ad_x_viewer_address__max,0.17327885717266875
out__speech_rate_cv__trend,0.16877755740993527
out__rolloff__median,0.16861259753199861
out__pause_rate__mean,0.16809345774159473
linguistic__subordinate_clause_ratio,0.1671875738668661
out__unique_classes__max,0.16705657907348484
out__motion_speed__median,0.16643570887996276
out__speech_rate_cv__q25,0.16490629533749937
out__zcr__q75,0.16468329302796728
out__depth_variance__q25,0.16291657811817073
out__speaker_prob__median,0.16071211285386416
out__zcr__median,0.15933204403983664
out__brightness__trend,0.15899810450270507
out__edit_pace__std,0.1589101814762579
out__hook_has_address__max,0.15845996155422154
out__visual_entropy__min,0.15842276404989344
out__rolloff__mean,0.15744738639387862
out__audio_novelty__max,0.15664648573986453
out__sharpness__mean,0.15453651583901268
out__visual_entropy__q75,0.1538542370605276
out__loudness_change__std,0.15332871873868056
out__pitch_mean__max,0.15309077520085362
out__overlay_prob__q75,0.15216630633858638
out__is_intro__max,0.1491346881230731
out__flow_mag_med__median,0.14830534590632033
out__audio_topic_shift__min,0.14682672552683587
out__motion_speed__q75,0.14579240062513563
out__is_ad_x_viewer_address__trend,0.1457762330747711
out__brightness__q25,0.14502361053150806
out__rolloff__q25,0.141791743595325
out__speech_rate_cv__median,0.1401086989613991
