video_id,split,spearman,pearson,rmse,mae,spike_rmse,curvature_rmse
3WA4YT8fkx8,val,0.995147649270507,0.9849252216859702,1.9698529004329988,1.3962287902832031,1.2395005229560991,1.8837008050410353
S_o49-nmh5w,train,0.9918423101589918,0.9869191057839245,1.9649608236856395,1.5352243480115835,1.3553904477667076,2.057842064974013
GfEdSBXxyHA,train,0.9872160117321843,0.982432214911097,1.9223103496193061,1.5398298584588679,1.697591794768545,2.7618153554036837
6_qPAwOsDi0,val,0.9923316690529177,0.9789226064610186,2.3927750084120993,1.7399244402894876,1.1470456971152876,1.617526879685865
YoGUM0AsXJI,train,0.9966028490353804,0.992688123022354,2.1575105103190726,1.974808305797011,1.323595070519402,2.1670089957797436
e21aHqRYPKE,train,0.9893716561383551,0.9878812935955883,2.3605542451926205,2.02892798244363,1.0922155539373688,1.7765881783648392
8YXWaEo201o,val,0.9816038300469913,0.9643916408315072,3.245403792867211,2.26251760803827,1.781923892507728,2.6092416909390583
RhVq2oJpsEY,train,0.9665583515378144,0.9662940320746024,3.2075380940301206,2.305829340868657,2.5289276777921934,4.4215489840131355
q607HENWvqY,train,0.9617708472870189,0.9584331292724315,3.467815562630813,2.362673995518448,3.441065720430033,5.093039231737141
3MncoqWP_qg,val,0.9925189554972685,0.9820829720179998,2.9114973740708634,2.562215597322672,1.1521191656789596,1.7602410507342463
vVZDZxRRXDI,train,0.924907967332705,0.9362320217784506,3.7045799360333773,2.563152464309541,3.1783076108501316,5.194449844157471
eLSgNBnpeRg,train,0.9934361343606168,0.9621489713505208,3.0090286671370565,2.5948628718310065,1.3286156311031563,1.904274581479325
IgJxh-fJTBU,train,0.9535070887309528,0.9485674640748922,3.4370178036646686,2.6300177243676517,2.6097823113108425,4.258224970375767
Mc0b511IaVU,train,0.9950667465133893,0.9852290337691478,3.2318473722757597,2.6696843439989753,1.3006209679309442,2.1381802130708842
EFxlvlchMw8,train,0.9563565702914375,0.9646877807489797,3.388575581612623,2.8083205647987897,2.669436346621317,4.438064095823168
lgeLlSArJXU,train,0.9691608518932631,0.9574418377326391,3.5040637140024606,2.8790547588084006,1.7353448622542305,2.8747613159052707
LH3DvvXTxzc,train,0.9752052799035451,0.9616337583146592,3.752796270189641,3.0716389948778815,1.8412117303008015,2.621063855403705
JXTBwlW02No,train,0.975112920811736,0.9653604025304138,3.8980034266677275,3.156834857298596,1.6546995553708337,2.142016584195256
lLoSngvynB8,train,0.9468204935609448,0.9677144149309366,4.131132495153308,3.290134014469562,2.285590176114863,3.9205185717803186
9B3N8I4Vidc,train,0.9594955784545394,0.9421546868872801,4.774983195257903,3.3644094939279086,2.227967518208185,3.5781373153076514
3PBo1GiAlbs,val,0.8646704767517999,0.9048942689057782,4.831903511660735,3.3812270589394147,4.32840027415221,5.537425951771647
xZnMwJQ4mfc,train,0.9558930477941856,0.9205022254438759,4.112601711368895,3.398044472873801,1.72037762368153,2.257649435797687
kifrPvJigCU,train,0.980374865944872,0.972909613818394,3.730910992145594,3.4097972529949527,1.5491074803844151,2.2999919316263924
VYsqc9S5b9E,train,0.968953018617535,0.9671757051318973,4.456511930763718,3.4349923464331296,2.8617983909085694,4.335758102009673
GthDbmZFW-w,train,0.9730987122532749,0.9492389819074899,4.24820895103864,3.4607980558187657,2.7798964892286167,4.2176959488606665
Db6f982wxPg,train,0.9952067411851152,0.9778232066719285,4.017468537984407,3.50251834227307,1.019365505581862,1.2682922316679792
jTtvWTti3b0,train,0.9598006423531451,0.962098791238619,4.160669714778239,3.519061362389291,3.3568914726932464,5.606049799681065
jPVQgOI33V0,train,0.9927233907760685,0.9803880408304616,4.335624761884381,3.598800659179686,1.4670286673332298,1.834247613531174
FZ4waB-THOA,train,0.9584901103110084,0.971300660039397,4.419713671084219,3.606649342149791,2.25377386261828,3.8657654274000444
rJxhpVu7BhU,train,0.9420379008353545,0.9488499538786009,4.714106202514216,3.6418262141765934,3.2890935189149064,5.174464969263105
138P93_Z_u0,val,0.9365055514920065,0.9138937321268388,5.178191314871046,3.698182398729985,4.047205829011266,6.113665999852779
8__NWVjeyZ8,train,0.9264850464918325,0.9408692869196865,5.164200152671889,3.8501567274036974,4.545826141326694,7.818281238905021
K5zVqoMMj3Y,train,0.956908179799133,0.9445417796406529,4.856811004227126,3.9186484837295987,2.761509076158919,3.986909989473385
bK-1Mfb93uA,train,0.984865198940953,0.9766004609380348,4.511998722201499,3.926617310778928,1.4848441986243064,2.435510674119543
ECP4p12A5FY,train,0.9268415122450466,0.931534146823451,5.4431229290157725,4.14657717412061,3.4167956405160855,5.042405216924577
b5gAWk2QuSU,train,0.9828350981456981,0.9856148829500145,4.801017465242218,4.308234715225673,1.5984971874030325,2.531894737980642
xK0GkyIVzq4,train,0.9284023457042643,0.9238209390642788,6.516294671849051,4.527823986393391,2.9086925754293422,3.853492368174803
Fr4ZqY97Bco,train,0.9932845265336996,0.9750280476715418,5.5202862212918085,4.640024619527383,1.4935005917115447,2.5320269545821965
VYYzb9KHawI,train,0.8597590993061538,0.9056781136621183,5.531956004999134,4.8897362133063895,2.2635282103595915,3.4328334998031824
gYHHQNT6100,train,0.9475409950184969,0.9576381429840372,6.239522128747219,5.408308878983601,3.273023178611748,5.4395680226041785
eL9OqXpmvOE,train,0.9643100356255888,0.958892172250792,6.147761227489724,5.43869418909054,2.9730511970877176,4.846020846486049
RkwsqGM4_DE,train,0.9796199529266264,0.9757032366869345,6.398422380328066,5.557797422503481,1.0399666392902394,1.5411754352840699
iP_siVZjbzc,train,0.9973607497049666,0.9885492716610346,6.020910066807486,5.570067112988765,0.8147405939728922,1.2445271346530224
v_puTGCZjnA,train,0.9614592012884912,0.9518187521039201,6.819139633527203,5.849053751124014,1.7745549946023023,2.738367809523964
fwHhuHVNR4I,train,0.8931880407747202,0.9018706256197366,6.562121405566383,5.9459043068460895,3.2056177724122836,4.729894745093328
U8e1Pd7aBLY,train,0.9807475869848953,0.976862238555051,6.454457657360378,6.180233379401783,1.851962147194322,2.728801231610896
yKC5nekLvbs,train,0.9666206965762058,0.9571785883413519,6.730324782875051,6.323997082096516,2.183555171467439,3.423736089523754
dx7dMwMXSAA,train,0.980984401297967,0.9735503505930503,6.8356858441518265,6.559786806012144,1.4706683903618434,1.875430816922315
ib29EiVnmJM,train,0.9865692258441235,0.9603366582292961,7.357058188654584,6.587921142578125,1.724297755923471,2.778641389288488
sujXtr4AVRU,train,0.9338919192317681,0.9405061731947281,7.644707021369785,7.078977112722869,1.922998396573435,2.9285156596533874
Z6cbf9WN0c4,train,0.23472575323721226,0.6634562799799448,8.3446745151992,7.360838635133044,2.903970719665839,3.977628558168771
qoqjZR52lOQ,train,0.9808732127984576,0.9460633467273936,8.758677632743433,7.837885526147219,2.490884721318484,3.6593866873734417
iKGmIRAfmCM,train,0.982118845029777,0.9439584378430207,8.559628619041808,7.939976380603148,4.140743405913803,7.206857161221778
hnyYg62DY4E,train,0.7755438902604523,0.8231162478348153,9.316060633843932,8.001854245025333,2.6896566876957575,3.5617143322446623
wS79wHHkjjw,train,0.8593903312857043,0.8610930204900067,9.368854072438438,8.081997786418047,4.32469184159719,7.474359263518379
6Ha1lqRKMig,val,0.9215406492668218,0.9158668737257808,9.031251690274585,8.111473310111773,1.9222982517768077,2.6320291701371397
szF7osJgt-A,train,0.9578569030158541,0.9038888703877671,9.139747706716706,8.235166719644377,2.8807171826451605,4.496679584755375
W6enyqR-1Jw,train,0.9938548859814478,0.9889238122900427,8.492788578801775,8.264501024000715,1.3718582984127465,1.9469783313236828
YubjPoEmzgU,train,0.9920256396772276,0.977892154005602,9.309156438916233,8.85385528413376,1.039276322427026,1.4348458286023489
4WcGtcKKoWg,val,0.9879659357313733,0.9774939551510217,9.26074679987918,8.920393122304784,1.3906284313052,2.151209073462943
Nvq6okhPSOw,train,0.8733477827603919,0.9251029873243384,10.038551566977855,9.131226719015896,3.9396124572528404,6.844252794666546
P9bVljfAWS8,train,0.9736970417165044,0.9417300967301703,10.243984547773671,9.685574710959255,3.627723658521154,5.7765292010624965
OpuMLYUuP_M,train,0.7724439323936028,0.8743508000362095,11.206421624284992,10.258145247355547,1.550591699036222,2.4024611993869662
EhAdb6fIEe0,train,0.9897636768254396,0.9794358637067182,10.73889615986291,10.402790862734955,1.602812469510296,2.458422838848121
gkSAR3jbMjA,train,0.9792945784439561,0.9674008191896466,11.078467416400988,10.46209176696173,2.086355175997255,3.2203029233091005
Ei6QuJppkb4,train,0.9085036727347305,0.8801410945762119,11.206405684838739,10.560075929849456,2.8755347425964883,4.363386984791984
porv8WwTSgc,train,0.8663834907322989,0.7418913326762322,12.30169374575388,10.864639433303681,3.0333798519701247,4.449372561860564
ie3vumn9Je4,train,0.991286934849388,0.9684289851591823,13.28997629171501,12.220967434420444,1.9005847186088567,2.455668786603001
mBzEZBF1a_U,train,0.8397716286071631,0.9122632643495672,12.94998915297124,12.319811981503326,2.8913715291458693,4.241381250872174
3G6JrAq-w4M,val,0.8826990084481396,0.8435503554901234,13.074848688431025,12.442556928880144,3.1083857765568954,4.733597379869215
lYAEH2n3I58,train,0.9457109060513076,0.951320884700608,14.361391324914377,13.10401474603332,2.897197540706711,4.040797114940741
39R6j9qkzPo,val,0.9847006640571709,0.9380154823211571,14.293459598315136,13.838463018436244,2.827150749841817,4.091524581918183
