feature,importance
n_chapters,21.99
hook_score,16.11
is_intro,14.95
hook_has_address,11.29
chapter_id,10.29
is_outro,6.32
content_rhythm,5.09
scene_novelty,3.79
brightness,2.96
speaker_prob,2.46
