feature,importance
out__zcr__median,0.20194037096953923
out__loudness_variance__q25,0.20048936342921445
out__brightness__q25,0.1995578070003163
out__n_chapters__min,0.19876675107854655
out__overlay_prob__std,0.19732691474477865
out__beat_sync__max,0.1964779739142337
out__is_ad_x_viewer_address__max,0.19460871332482982
out__brightness__min,0.1945550980128917
out__loudness_variance__std,0.19442670598996464
out__rolloff__q75,0.1942308388382413
out__pause_rate__mean,0.19169448910659273
out__centroid__q25,0.19079961822767952
out__rolloff__trend,0.18957452105172962
out__centroid__mean,0.18954477592521135
out__overlay_prob__q75,0.18929477623800364
out__centroid__trend,0.18820790942260204
out__screencast_prob__median,0.18705552945470982
out__rolloff__q25,0.18705016578652828
out__voiced_frac__mean,0.1865398871391498
out__rolloff__mean,0.18630607960879778
out__loudness_variance__mean,0.18394887227992682
out__centroid__median,0.1833924319730776
out__pause_rate__std,0.18240752354596798
out__loudness_variance__median,0.18216437313131012
out__text_prob__q75,0.18202488157120134
out__n_chapters__q25,0.17752222072356796
out__voiced_frac__q75,0.17576209662439038
out__centroid__q75,0.1751945769561434
out__scene_novelty__q75,0.17515878185276218
out__crutch_cnt__trend,0.17419900380314207
out__scene_novelty__max,0.17270784804627443
out__audio_self_similarity__trend,0.16672199823851852
out__voiced_frac__median,0.16654070274670643
out__visual_entropy__q75,0.1653850509543222
out__visual_entropy__min,0.1650849057746224
interval_label_mean__quick_tip,0.16198351019078272
out__speech_rate_cv__mean,0.16003801937951243
linguistic__subordinate_clause_ratio,0.15918521162799248
out__viewer_address__mean,0.15872477090643175
out__speech_rate_cv__median,0.15844833782842307
expectation_mismatch_points_count,0.1579450456392543
out__sharpness__max,0.1574315700892075
out__unique_classes__max,0.15671298393610666
out__is_ad_x_viewer_address__trend,0.1525574537120764
out__radial_ratio__median,0.1523694853769582
out__has_example__max,0.1503070219005542
out__loudness_change__median,0.14814699167191214
out__beat_sync__std,0.1451490184229649
out__hook_has_address__median,0.145025510320304
out__speaker_prob__median,0.14482474578773877
integration_confidence,0.1448124393430966
out__n_chapters__max,0.14355559841490562
out__radial_ratio__max,0.14252140416679004
out__overlay_prob__mean,0.14195052746223238
out__chapter_id__trend,0.1412030320174662
out__loudness_change__q75,0.1395797622426528
out__loudness_change__std,0.13938111155582067
out__voiced_frac__q25,0.13914198474985456
out__audio_topic_shift__trend,0.13901200608224754
out__question_density__q75,0.1389702096643668
out__ekman_intensity__trend,0.1371869197737028
out__radial_med__std,0.13714680586011235
out__zcr__q75,0.13654626665356645
out__edit_pace_x_screencast__std,0.13513323280604286
out__speech_rate_cv__q75,0.13459649526250209
out__depth_variance__mean,0.1339248503042493
interval_label_mean__solution_simple,0.1326266898516639
out__aesthetic_score__min,0.13112600388386184
out__topic_shift__min,0.13007065746047605
out__speech_complexity__mean,0.1279843023816858
out__curiosity_gap__max,0.1276457548521826
out__depth_variance__trend,0.12698788826247195
out__topic_shift__median,0.12550316391062952
out__rolloff__median,0.12500839238017109
out__unique_classes__q75,0.1245484469375252
out__question_density__max,0.12324294348961654
out__cultural_ref_cnt__std,0.12303344194758668
out__question_density__median,0.12253309987758464
out__visual_momentum__max,0.12250442915652354
out__beat_sync__trend,0.1214563691536873
out__speech_complexity__std,0.12113546543083983
out__audio_hook_similarity__trend,0.12009514776958014
out__topic_change_rate__max,0.11816762986215704
out__scene_novelty__median,0.11747088620310417
out__hook_has_address__max,0.11512479856362073
out__zcr__std,0.11466330489278431
out__avg_word_length__trend,0.11426611654221475
out__audio_hook_similarity__min,0.11386278080284395
out__object_count__q25,0.11347497454798454
out__motion_speed__median,0.11333543307546133
out__speaker_prob__mean,0.11262129397430645
out__beat_sync_ratio__trend,0.11236551789773547
out__hook_score__std,0.11235816944218148
out__avg_word_length__q25,0.11211794224940111
out__n_chapters__q75,0.11044529518129145
out__lexical_diversity__max,0.11032647933406914
out__speech_complexity__max,0.11016091573089078
out__beat_sync_ratio__max,0.10965625553374654
out__zcr__q25,0.10936007070242638
out__segment_self_similarity__median,0.10817839756562767
out__speech_complexity__q25,0.1075489506840067
out__zcr__mean,0.10708610268488461
out__wps__trend,0.10592763429220842
out__object_count__median,0.105387649413097
out__n_ad_segments__median,0.10463262176545488
out__syntactic_depth__std,0.10241655765804551
out__depth_variance__median,0.10082737542439826
out__viewer_address__trend,0.09903125318230449
out__ekman_joy__trend,0.09902206025699617
out__n_ad_segments__q25,0.09888100733071781
out__visual_hook_similarity__q75,0.09847563417011657
out__unique_classes__median,0.09737572877116774
out__speech_complexity__trend,0.09737326335152524
out__syntactic_depth__trend,0.09623311923760326
out__beat_sync_ratio__mean,0.0957926998283363
out__unique_classes__q25,0.09578208812260305
out__pause_rate__median,0.09297450851791146
out__crutch_cnt__std,0.08969434299017447
out__is_ad__trend,0.0856279234140221
out__wps__std,0.0851336545293649
out__visual_topic_shift__max,0.08482960138063592
out__hook_has_address__q25,0.0839000188134729
evidence_authority_intervals,0.08380459833195902
out__hook_similarity__q75,0.0832031199312438
out__beat_sync_ratio__std,0.08037696163684288
out__scene_novelty__q25,0.08009585485293236
out__semantic_novelty__max,0.07997677666908452
out__question_density__std,0.0788177963181211
out__chapter_id__max,0.07774479511154458
out__hook_has_address__min,0.07630648541456778
out__speech_complexity__median,0.07607063863331597
out__text_prob__q25,0.0749965468996721
out__avg_word_length__std,0.07469065672916958
out__information_density__min,0.07463585025026785
out__hook_has_address__mean,0.07460883259088767
out__is_intro__mean,0.07413874915115419
out__semantic_novelty__q25,0.07399682393518782
out__speech_complexity__min,0.0734952453162343
out__hook_has_address__q75,0.07338800965510504
out__overlay_prob__median,0.07318520484561102
out__topic_change_rate__std,0.07212792113550466
out__visual_topic_shift__q75,0.07161358433865421
out__ad_segment_length__max,0.07138850513411285
out__pitch_std__min,0.07118485220381762
out__visual_hook_similarity__median,0.07099107930267698
out__visual_topic_shift__median,0.07057687994801459
out__beat_sync__mean,0.06964332759896207
out__wps__median,0.06905508607039867
out__pitch_mean__min,0.06892614743388539
out__n_chapters__trend,0.0686612423098476
out__crutch_cnt__mean,0.06858486799664307
out__topic_change_rate__q75,0.06833825788527079
out__has_example__std,0.06786715804269516
out__chapter_id__median,0.06589687291982835
out__lexical_diversity__trend,0.06549523277539068
out__ekman_neutral__mean,0.06512847531418511
out__unique_classes__trend,0.0647705098214572
out__wps__max,0.06448122151173595
out__avg_word_length__q75,0.06438406766827114
out__question_density__trend,0.06429896698768535
out__depth_variance__q25,0.06366086517482356
out__semantic_momentum__q75,0.06364291257207959
out__cultural_ref_cnt__min,0.06319437244265129
out__n_ad_segments__max,0.06303396835112637
out__n_ad_segments__q75,0.06274129167773512
out__hook_score__mean,0.062656758461151
out__edit_pace_x_screencast__max,0.06225256502334824
out__audio_topic_shift__min,0.061824228367260134
out__viewer_address__max,0.06083882995248587
out__syntactic_depth__min,0.05929633320320704
out__ekman_joy__max,0.05921469622327601
out__ekman_intensity__max,0.058794521389332936
out__cumulative_info__min,0.05820817245039443
out__audio_momentum__max,0.05809765964902897
out__crutch_cnt__q75,0.058065154003240485
out__chapter_id__q25,0.05798457195723547
out__loudness_variance__q75,0.05753194742742286
out__visual_hook_similarity__max,0.05727806916370664
out__audio_self_similarity__min,0.05702886313064803
out__visual_hook_similarity__std,0.056956694947853985
out__audio_self_similarity__q75,0.05651655796687822
out__is_ad__std,0.05616219186790709
out__n_ad_segments__mean,0.05609227862811841
out__wps__q25,0.05581580815576292
out__audio_momentum__q25,0.05551749788343921
out__viewer_engagement__trend,0.055028352516954905
out__ad_density_percent__std,0.05501329056596221
out__storytelling__trend,0.05477193144705712
out__depth_variance__min,0.054422816990284346
out__audio_topic_shift__std,0.05426245645495458
out__ekman_excitement__trend,0.053222025166383434
out__speech_complexity__q75,0.05318822596723159
out__information_density__trend,0.05234916360494527
out__segment_self_similarity__trend,0.05210547856162869
out__audio_hook_similarity__max,0.05179982455193411
out__topic_shift__trend,0.05177773489962915
out__is_outro__max,0.0516799637313194
out__depth_mean__max,0.05153570294589961
out__lexical_diversity__q75,0.05146266320186563
out__is_intro__max,0.05127297574762454
out__question_density__mean,0.05103068957393342
out__aesthetic_score__max,0.05102663092720935
out__has_example__trend,0.05095014094395089
out__n_ad_segments__min,0.05071144212580257
out__avg_word_length__max,0.05068519932753075
out__visual_momentum__mean,0.05063327729212793
out__aesthetic_score__std,0.0504472830874165
out__lexical_diversity__min,0.049764137764006296
out__visual_self_similarity__min,0.049522084975800976
out__topic_change_rate__trend,0.04898158014219937
out__chapter_id__std,0.048951973642576516
out__depth_mean__q25,0.04863159746881204
out__depth_variance__q75,0.04815319694659848
out__hook_score__trend,0.04804964908194122
out__visual_momentum__std,0.04802778986765578
out__ekman_excitement__max,0.047820895047758376
out__storytelling__median,0.04750270951798598
out__has_example__q75,0.04745126314648377
out__cultural_ref_cnt__q25,0.047134908257598356
out__topic_change_rate__mean,0.04689535575555046
out__depth_mean__std,0.04673795160009608
out__ekman_neutral__std,0.04645104839437065
out__audio_self_similarity__median,0.046090205114707704
out__wps__q75,0.04592443866924613
out__visual_self_similarity__max,0.04509872369793817
out__audio_novelty__std,0.044711087739732716
out__ad_segment_length__std,0.04394383655438858
out__is_question__max,0.04378912733786299
